,raw,json,bird,alternate_names,scientific_name
378,The great blue turaco (Corythaeola cristata) is a bird species of the  family Musophagidae,"{'bird': 'The great blue turaco', 'alternate_names': ['Corythaeola cristata'], 'scientific_name': 'Musophagidae'}",The great blue turaco,['Corythaeola cristata'],Musophagidae
379,"The great bowerbird (Chlamydera nuchalis) is a common and conspicuous resident of northern Australia, from the area around Broome across the Top End to Cape York Peninsula and as far south as Mount Isa","{'bird': 'Great Bowerbird', 'alternate_names': 'Chlamydera nuchalis', 'scientific_name': 'Chlamydera nuchalis'}",Great Bowerbird,Chlamydera nuchalis,Chlamydera nuchalis
380,"The great bustard (Otis tarda) is a bird in the bustard family, and it is the only living member of the genus Otis","{'bird': 'The great bustard', 'alternate_names': ['Otis tarda'], 'scientific_name': 'Otis tarda'}",The great bustard,['Otis tarda'],Otis tarda
384,The great cuckoo-dove (Reinwardtoena reinwardti) is a species of bird in the family Columbidae,"{'bird': 'cuckoo-dove', 'alternate_names': ['Reinwardtoena reinwardti'], 'scientific_name': 'Reinwardtoena reinwardti'}",cuckoo-dove,['Reinwardtoena reinwardti'],Reinwardtoena reinwardti
385,"The great curassow (Crax rubra) is a large, pheasant-like bird from the Neotropical rainforests, its range extending from eastern Mexico, through Central America to western Colombia and northwestern Ecuador","{'bird': 'The great curassow', 'alternate_names': 'Crax rubra', 'scientific_name': 'Crax rubra'}",The great curassow,Crax rubra,Crax rubra
387,The great eared nightjar (Lyncornis macrotis) is a species of nightjar in the family Caprimulgidae,"{'bird': 'Great eared nightjar', 'alternate_names': ['Lyncornis macrotis'], 'scientific_name': 'Caprimulgidae'}",Great eared nightjar,['Lyncornis macrotis'],Caprimulgidae
388,"The great egret (Ardea alba), also known as the common egret, large egret, or (in the Old World) great white egret[2] or great white heron[3][4][5] is a large, widely distributed egret","{'bird': 'The great egret', 'alternate_names': ['common egret', 'large egret', 'great white egret', 'great white heron'], 'scientific_name': 'Ardea alba'}",The great egret,"['common egret', 'large egret', 'great white egret', 'great white heron']",Ardea alba
393,"The great grey owl (Strix nebulosa) (also great gray owl in American English) is a very large owl, documented as the world's largest species of owl by length","{'bird': 'Great Grey Owl', 'alternateNames': ['Great Gray Owl'], 'scientificName': 'Strix nebulosa'}",Great Grey Owl,,
395,"The great hanging parrot (Loriculus stigmatus), also called Celebes hanging parrot, Sulawesi hanging parrot and maroon-rumped hanging parrot, is a species of parrot in the family Psittaculidae","{'bird': 'The great hanging parrot', 'alternate_names': ['Celebes hanging parrot', 'Sulawesi hanging parrot', 'maroon-rumped hanging parrot'], 'scientific_name': 'Loriculus stigmatus'}",The great hanging parrot,"['Celebes hanging parrot', 'Sulawesi hanging parrot', 'maroon-rumped hanging parrot']",Loriculus stigmatus
400,The great iora (Aegithina lafresnayei) is a species of bird in the family Aegithinidae,"{'bird': 'The great iora', 'alternate_names': 'Aegithina lafresnayei', 'scientific_name': 'Aegithinidae'}",The great iora,Aegithina lafresnayei,Aegithinidae
401,The great jacamar (Jacamerops aureus) is a species of bird in the family Galbulidae,"{'bird': 'jacamar', 'alternate_names': ['Jacamerops aureus'], 'scientific_name': 'Jacamerops aureus'}",jacamar,['Jacamerops aureus'],Jacamerops aureus
402,"The great kiskadee (Pitangus sulphuratus), called bem-te-vi in Brazil and benteveo in Argentina, is a passerine bird in the tyrant flycatcher family Tyrannidae","{'bird': 'The great kiskadee', 'alternate_names': ['bem-te-vi', 'benteveo'], 'scientific_name': 'Pitangus sulphuratus', 'family': 'Tyrant flycatcher family Tyrannidae'}",The great kiskadee,"['bem-te-vi', 'benteveo']",Pitangus sulphuratus
403,The great knot (Calidris tenuirostris) is a small wader,"{'bird': 'The great knot', 'alternate_names': 'Calidris tenuirostris', 'scientific_name': 'Calidris tenuirostris'}",The great knot,Calidris tenuirostris,Calidris tenuirostris
404,"The great lizard cuckoo (Coccyzus merlini) is a species of bird in the tribe Phaenicophaeini, subfamily Cuculinae of the cuckoo family Cuculidae","{'bird': 'The great lizard cuckoo', 'alternate_names': ['Coccyzus merlini'], 'scientific_name': 'Cuculidae'}",The great lizard cuckoo,['Coccyzus merlini'],Cuculidae
405,"The great myna (Acridotheres grandis), also known as the white-vented myna, is a species of starling in the family Sturnidae","{'bird': 'myna', 'alternate_names': 'white-vented myna', 'scientific_name': 'Acridotheres grandis'}",myna,white-vented myna,Acridotheres grandis
406,"The Great Nicobar serpent eagle (Spilornis klossi), also known as the South Nicobar serpent eagle, is a species of bird of prey in the family Accipitridae","{'bird': 'Great Nicobar serpent eagle', 'alternate_names': 'South Nicobar serpent eagle', 'scientific_name': 'Spilornis klossi'}",Great Nicobar serpent eagle,South Nicobar serpent eagle,Spilornis klossi
408,The great potoo (Nyctibius grandis) is the largest potoo species and is widely distributed in Central and South America,"{'bird': 'potoo', 'alternate_names': ['great potoo'], 'scientific_name': 'Nyctibius grandis'}",potoo,['great potoo'],Nyctibius grandis
410,The great rosefinch (Carpodacus rubicilla) is a species of finch in the family Fringillidae,"{'bird': 'Great Rosefinch', 'alternate_names': ['Carpodacus rubicilla'], 'scientific_name': 'Fringillidae'}",Great Rosefinch,['Carpodacus rubicilla'],Fringillidae
411,"The great rufous woodcreeper (Xiphocolaptes major) is a species of bird in the Dendrocolaptinae subfamily, the woodcreepers","{'bird': 'Great Rufous Woodcreeper', 'alternate_names': ['Xiphocolaptes major'], 'scientific_name': 'Xiphocolaptes major'}",Great Rufous Woodcreeper,['Xiphocolaptes major'],Xiphocolaptes major
413,The great shearwater (Ardenna gravis) is a large shearwater in the seabird family Procellariidae,"{'bird': 'shearwater', 'alternate_names': 'Ardenna gravis', 'scientific_name': 'Procellariidae'}",shearwater,Ardenna gravis,Procellariidae
414,"The great shortwing (Heinrichia calligyna) is a species of bird in the family Muscicapidae, and the only member of its genus","{'bird': 'The great shortwing', 'alternate_names': 'Heinrichia calligyna', 'scientific_name': 'Muscicapidae'}",The great shortwing,Heinrichia calligyna,Muscicapidae
415,The great shrike-tyrant (Agriornis lividus) is a species of bird in the family Tyrannidae,"{'bird': 'shrike-tyrant', 'alternate_names': ['Agriornis lividus'], 'scientific_name': 'Agriornis lividus'}",shrike-tyrant,['Agriornis lividus'],Agriornis lividus
417,The great slaty woodpecker (Mulleripicus pulverulentus) is a species of bird in the family Picidae,"{'bird': 'Great Slaty Woodpecker', 'alternate_names': ['Mulleripicus pulverulentus'], 'scientific_name': 'Mulleripicus pulverulentus'}",Great Slaty Woodpecker,['Mulleripicus pulverulentus'],Mulleripicus pulverulentus
419,"The great sparrow (Passer motitensis), also known as the southern rufous sparrow, is found in southern Africa in dry, wooded savannah and towns","{'bird': 'The great sparrow', 'alternate_names': 'Southern rufous sparrow', 'scientific_name': 'Passer motitensis'}",The great sparrow,Southern rufous sparrow,Passer motitensis
422,"The great spotted kiwi, great grey kiwi[2] or roroa (Apteryx haastii) is a species of kiwi endemic to the South Island of New Zealand","{'bird': 'Kiwi', 'alternate_names': ['Great spotted kiwi', 'Great grey kiwi'], 'scientific_name': 'Apteryx haastii'}",Kiwi,"['Great spotted kiwi', 'Great grey kiwi']",Apteryx haastii
423,The great spotted woodpecker (Dendrocopos major) is a medium-sized woodpecker with pied black and white plumage and a red patch on the lower belly,"{'bird': 'Great spotted woodpecker', 'alternate_names': 'Dendrocopos major', 'scientific_name': 'Dendrocopos major'}",Great spotted woodpecker,Dendrocopos major,Dendrocopos major
424,"The great stone-curlew or  great thick-knee (Esacus recurvirostris) is a large wader which is a resident breeder in tropical southern Asia from India, Pakistan, Sri Lanka, Bangladesh into South-east Asia","{'bird': 'Great Stone-Curlew', 'alternate_names': 'Great Thick-Knee', 'scientific_name': 'Esacus recurvirostris'}",Great Stone-Curlew,Great Thick-Knee,Esacus recurvirostris
425,The great swallow-tailed swift (Panyptila sanctihieronymi) is a species of bird in subfamily Apodinae of the swift family Apodidae,"{'bird': 'swallow-tailed swift', 'alternate_names': ['Panyptila sanctihieronymi'], 'scientific_name': 'Panyptila sanctihieronymi'}",swallow-tailed swift,['Panyptila sanctihieronymi'],Panyptila sanctihieronymi
426,The great thrush (Turdus fuscater) is a species of bird in the family Turdidae,"{'bird': 'Great Thrush', 'alternateNames': [], 'scientificName': 'Turdus fuscater'}",Great Thrush,,
428,The great tit (Parus major) is a passerine bird in the tit family Paridae,"{'bird': 'The great tit', 'alternate_names': 'Parus major', 'scientific_name': 'Paridae'}",The great tit,Parus major,Paridae
429,"The great white pelican (Pelecanus onocrotalus) also known as the eastern white pelican, rosy pelican or white pelican is a bird in the pelican family","{'bird': 'The great white pelican', 'alternate_names': ['Eastern white pelican', 'Rosy pelican', 'White pelican'], 'scientific_name': 'Pelecanus onocrotalus'}",The great white pelican,"['Eastern white pelican', 'Rosy pelican', 'White pelican']",Pelecanus onocrotalus
430,"The great woodswallow (Artamus maximus), also known as the greater woodswallow, giant woodswallow or New Guinea woodswallow is a species of bird in the family Artamidae","{'bird': 'The great woodswallow', 'alternate_names': ['greater woodswallow', 'giant woodswallow', 'New Guinea woodswallow'], 'scientific_name': 'Artamus maximus'}",The great woodswallow,"['greater woodswallow', 'giant woodswallow', 'New Guinea woodswallow']",Artamus maximus
431,"The great xenops (Megaxenops parnaguae) is a furnariid bird, which is endemic to the Caatinga region of north-eastern Brazil","{'bird': 'xenops', 'alternate_names': 'Megaxenops parnaguae', 'scientific_name': 'Furnariidae'}",xenops,Megaxenops parnaguae,Furnariidae
432,The great-billed hermit (Phaethornis malaris) is a species of hummingbird in the family Trochilidae,"{'bird': 'Great-billed Hermit', 'alternate_names': ['Phaethornis malaris'], 'scientific_name': 'Trochilidae'}",Great-billed Hermit,['Phaethornis malaris'],Trochilidae
433,"The great-billed heron (Ardea sumatrana) is a wading bird of the heron family, resident from southeast Asia to Papua New Guinea and Australia","{'bird': 'great-billed heron', 'alternate_names': 'Ardea sumatrana', 'scientific_name': 'Ardea sumatrana'}",great-billed heron,Ardea sumatrana,Ardea sumatrana
434,The great-billed kingfisher or black-billed kingfisher (Pelargopsis melanorhyncha) is a species of bird in the subfamily Halcyoninae,"{'bird': 'The great-billed kingfisher or black-billed kingfisher', 'alternate_names': ['The great-billed kingfisher', 'black-billed kingfisher'], 'scientific_name': 'Pelargopsis melanorhyncha'}",The great-billed kingfisher or black-billed kingfisher,"['The great-billed kingfisher', 'black-billed kingfisher']",Pelargopsis melanorhyncha
435,The great-billed mannikin or grand munia (Lonchura grandis) is a species of estrildid finch found in northern and eastern New Guinea,"{'bird': 'great-billed mannikin or grand munia', 'alternate_names': ['great-billed mannikin', 'grand munia'], 'scientific_name': 'Lonchura grandis'}",great-billed mannikin or grand munia,"['great-billed mannikin', 'grand munia']",Lonchura grandis
436,"The great-billed parrot (Tanygnathus megalorynchos) also known as Moluccan parrot or island parrot, is a medium-sized, approximately 38 cm long, green parrot with a massive red bill, cream iris, blackish shoulders, olive green back, pale blue rump and yellowish green underparts","{'bird': 'Great-billed parrot', 'alternate_names': ['Moluccan parrot', 'Island parrot'], 'scientific_name': 'Tanygnathus megalorynchos'}",Great-billed parrot,"['Moluccan parrot', 'Island parrot']",Tanygnathus megalorynchos
438,Leptoptilus argalaArdea dubiaLeptoptilus giganteus[2]Argala migratoria[3],"{'bird': 'Leptoptilus argala', 'alternate_names': ['Ardea dubia', 'Leptoptilus giganteus', 'Argala migratoria'], 'scientific_name': 'Leptoptilus argala'}",Leptoptilus argala,"['Ardea dubia', 'Leptoptilus giganteus', 'Argala migratoria']",Leptoptilus argala
439,The greater ani (Crotophaga major) is a bird in the cuckoo family,"{'bird': 'The greater ani', 'alternate_names': ['Crotophaga major'], 'scientific_name': 'Crotophaga major'}",The greater ani,['Crotophaga major'],Crotophaga major
440,The Greater Antillean bullfinch (Melopyrrha violacea) is a species of bird in the family Thraupidae,"{'bird': 'Greater Antillean bullfinch', 'alternate_names': 'None', 'scientific_name': 'Melopyrrha violacea'}",Greater Antillean bullfinch,None,Melopyrrha violacea
442,"The Greater Antillean grackle (Quiscalus niger) is a grackle found throughout the Greater Antilles, as well as smaller nearby islands","{'bird': 'Greater Antillean grackle', 'alternate_names': 'None', 'scientific_name': 'Quiscalus niger'}",Greater Antillean grackle,None,Quiscalus niger
443,The greater bird-of-paradise (Paradisaea apoda) is a bird-of-paradise in the genus Paradisaea,"{'bird': 'greater bird-of-paradise', 'alternate_names': 'Paradisaea apoda', 'scientific_name': 'Paradisaea apoda'}",greater bird-of-paradise,Paradisaea apoda,Paradisaea apoda
444,The greater blue-eared starling or greater blue-eared glossy-starling (Lamprotornis chalybaeus) is a bird that breeds from Senegal east to Ethiopia and south through eastern Africa to northeastern South Africa and Angola,"{'bird': 'greater blue-eared starling', 'alternate_names': ['greater blue-eared glossy-starling'], 'scientific_name': 'Lamprotornis chalybaeus'}",greater blue-eared starling,['greater blue-eared glossy-starling'],Lamprotornis chalybaeus
445,"The greater coucal or crow pheasant (Centropus sinensis), is a large non-parasitic member of the cuckoo order of birds, the Cuculiformes","{'bird': 'greater coucal or crow pheasant', 'alternate_names': ['greater coucal', 'crow pheasant'], 'scientific_name': 'Centropus sinensis'}",greater coucal or crow pheasant,"['greater coucal', 'crow pheasant']",Centropus sinensis
447,"The greater double-collared sunbird (Cinnyris afer) (formerly placed in the genus Nectarinia), is a small bird in the sunbird family","{'bird': 'greater double-collared sunbird', 'alternate_names': ['Nectarinia'], 'scientific_name': 'Cinnyris afer'}",greater double-collared sunbird,['Nectarinia'],Cinnyris afer
